,NOC,score,gen_ave,"Adjusted net enrollment rate, primary, female (% of primary school age children",Adolescent fertility rate (Adjusted),"Fertility rate, total (Adjusted)","Labor force, female (% of total labor force)","Literacy rate, adult female (% of females ages 15 and above)","Life expectancy at birth, female (years)","Expected years of schooling, female","Primary education, pupils (% female)"
1,ARG_2000,22.54867257,58.62395,NA,93.31024,74.39,41.07891,NA,77.544,16.33546,49.0851
2,ARG_2004,8.42741935,64.78276,98.59771,93.55292,75.26,41.5752,NA,78.392,17.12874,48.97273
3,ARG_2008,10.69662921,65.05731,99.16072,93.62176,76.04,40.94063,NA,79.107,17.51383,49.01723
4,ARG_2012,19.66019417,65.22713,98.51051,93.6024,76.53,41.08632,NA,79.752,18.29912,48.80953
5,ARG_2016,5.46666667,72.99362,NA,93.69728,77.07,40.8972,NA,80.31,NA,NA
6,ARM_2012,0.14814815,70.27003,NA,97.2785,83.36,47.17197,NA,76.874,NA,46.6657
7,AUS_1992,17.26640927,74.47022,96.98586,97.9125,81.12,41.76454,NA,80.4,NA,48.6384
8,AUS_1996,139.3094463,66.78515,95.37764,98.02626,82.04,42.85267,NA,81.1,19.44697,48.65248
9,AUS_1998,0.41666667,74.86178,95.48053,98.10538,82.38,43.04843,NA,81.5,NA,48.65631
10,AUS_2000,260.2285714,75.09766,95.67675,98.20674,82.44,43.62882,NA,82,NA,48.63367
11,AUS_2002,4.31818182,75.27268,95.62742,98.3081,82.44,44.05368,NA,82.6,NA,48.60689
12,AUS_2004,165.9082569,75.52266,96.56304,98.30086,82.32,44.33498,NA,83,NA,48.61707
13,AUS_2006,0.66666667,75.51667,96.95121,98.29362,80.92,44.82556,NA,83.5,NA,48.60962
14,AUS_2008,196.6789298,75.57567,97.59558,98.33598,80.16,45.04687,NA,83.7,NA,48.61558
15,AUS_2010,8.84615385,75.74292,97.62961,98.42794,80.72,45.08701,NA,84,NA,48.59299
16,AUS_2012,133.6051661,75.94333,98.01846,98.5199,80.83,45.42269,NA,84.3,NA,48.56895
17,AUS_2014,4.19512195,76.09628,97.52725,98.59586,81.79,45.70643,NA,84.4,NA,48.55813
18,AUS_2016,151.6117647,68.63685,97.18244,98.67182,81.91,46.12704,NA,84.6,23.32659,48.64006
19,AUT_1992,9.04347826,61.06806,NA,97.9611,84.9,41.65041,NA,79.3,13.95501,48.64185
20,AUT_1994,3.29411765,61.53935,NA,98.1851,85.3,42.9879,NA,79.8,14.36499,48.59811
21,AUT_1996,0.29577465,61.74491,NA,98.4091,85.5,43.19173,NA,80.2,14.62185,48.54675
22,AUT_1998,3.05217391,62.25271,NA,98.54996,86.3,43.52032,NA,81,15.65476,48.49121
23,AUT_2000,1.95652174,71.63334,NA,98.60768,86.4,43.51237,NA,81.2,NA,48.44664
24,AUT_2002,1.10344828,71.84339,NA,98.6654,86.1,44.29209,NA,81.7,NA,48.45944
25,AUT_2004,3.15151515,72.10126,NA,98.75416,85.8,45.11216,NA,82.1,NA,48.73996
26,AUT_2006,6,72.29911,NA,98.84292,85.9,45.43661,NA,82.8,NA,48.51601
27,AUT_2008,1.38181818,72.42229,NA,98.94056,85.8,45.73339,NA,83.3,NA,48.33752
28,AUT_2010,6.30769231,72.54135,NA,99.04708,85.6,46.13933,NA,83.5,NA,48.42035
29,AUT_2014,12.77697842,63.32633,NA,99.2164,85.3,46.69433,NA,84,16.1227,48.62456
30,AUT_2016,0.88888889,63.23961,NA,99.2792,85.1,46.72999,NA,83.4,16.38343,48.54505
31,AZE_2000,1.4,71.71105,88.01044,96.34934,80,47.12475,NA,69.891,NA,48.89079
32,AZE_2004,0.46666667,71.17551,82.68182,96.50322,79.465,49.38197,NA,71.2,NA,47.82103
33,AZE_2008,0.46666667,71.87547,83.64021,95.94192,81,50.4005,NA,73.405,NA,46.86519
34,AZE_2012,1.48837209,76.0787,88.10681,95.1036,80,48.95426,99.70286,74.527,NA,46.1564
35,AZE_2016,1.81132075,77.01106,94.02924,94.7388,80.6,48.80143,99.71955,75.046,NA,46.14238
36,BDI_2016,2,60.50679,NA,97.25984,43.03,52.34716,NA,59.492,NA,50.40497
37,BEL_1992,2.28571429,74.69852,96.34972,98.9181,83.5,40.46281,NA,79.87,NA,49.09047
38,BEL_1996,4.75471698,67.05582,97.66343,98.96946,84.1,41.51958,NA,80.66,17.95634,48.52194
39,BEL_2000,5.4,67.53154,99.36219,98.93592,83.3,42.98506,NA,81,18.49725,48.64037
40,BEL_2004,3.54545455,67.39197,96.61369,98.9418,82.8,43.63948,NA,81.9,19.03843,48.81042
41,BEL_2008,4.15555556,67.83708,98.06049,99.07702,81.5,44.73863,NA,82.6,19.96723,48.91618
42,BEL_2012,1.05376344,68.13815,98.13269,99.3971,82.1,45.27134,NA,83.1,20.19471,48.77118
43,BEL_2016,3.74117647,77.95358,NA,99.48918,83,45.92515,NA,83.4,NA,NA
44,BLR_1994,2.1627907,70.40501,NA,96.025,84.67,48.25919,NA,74.3,NA,48.77088
45,BLR_1996,14.15172414,70.74867,NA,96.4736,86.65,48.3685,NA,74.3,NA,47.95127
46,BLR_2000,31.3828125,71.18045,NA,97.2217,86.83,48.79028,NA,74.7,NA,48.36027
47,BLR_2004,12.42857143,71.47518,NA,97.65954,87.67,49.26295,NA,75,NA,47.78341
48,BLR_2008,14.9787234,62.25024,NA,97.80884,85.12,49.58619,NA,76.5,15.96746,48.51892
49,BLR_2010,0.79245283,66.43434,91.30191,97.84152,85.06,49.6459,NA,76.5,16.08207,48.60898
50,BLR_2012,32.14141414,66.8926,94.31432,97.8742,83.8,49.68014,NA,77.6,16.29999,48.67957
51,BLR_2014,15,66.77886,93.58088,98.03812,83.04,49.66057,NA,78.4,16.01845,48.71401
52,BLR_2016,13.03076923,67.23062,96.55176,98.20204,82.67,49.69451,NA,79,15.85116,48.6449
53,BRA_1996,24.26373626,69.08703,NA,91.5845,74.65,38.0286,NA,72.085,NA,NA
54,BRA_2000,24.78195489,69.58176,NA,92.03274,77,40.29008,86.50005,73.969,NA,47.69871
55,BRA_2004,57.72151899,66.76487,93.51398,92.62766,79.67,42.11271,88.80613,75.537,14.14474,47.70676
56,BRA_2008,118.7093023,67.9768,97.9007,93.1089,81.49,42.79522,90.21955,76.926,14.19614,47.17788
57,BRA_2012,62.22222222,68.38177,97.54642,93.3001,82.23,42.34328,91.6249,78.193,14.38979,47.42665
58,BRA_2016,18.38580247,74.63163,NA,93.73226,82.74,42.91527,NA,79.139,NA,NA
59,BRN_2012,2.5,65.75474,96.3067,98.6385,81.26,41.97944,NA,78.488,15.22326,48.38725
60,BRN_2016,5.2,65.90956,96.44565,98.90594,81.26,42.56841,NA,78.909,14.83827,48.43962
61,CAN_1992,76.97089947,66.89366,97.30131,97.4861,82.9,44.59768,NA,80.02,17.63732,48.31322
62,CAN_1994,16.48421053,66.63934,94.3394,97.6873,83.305,44.73176,NA,80.93,17.12768,48.35425
63,CAN_1996,81.38834951,66.88368,94.42892,97.8885,84.08,45.02515,NA,81.15,17.20815,48.40504
64,CAN_1998,83.29565217,67.60073,98.3882,98.10324,84.7,45.40433,NA,81.5,16.34506,48.76426
65,CAN_2000,32.80808081,71.97247,NA,98.33152,85.1,45.70153,NA,81.9,NA,48.82928
66,CAN_2002,116.0614035,77.88427,NA,98.5598,84.8,46.07728,NA,82.1,NA,NA
67,CAN_2004,16.235,72.18599,NA,98.57828,84.7,46.44452,NA,82.6,NA,48.60714
68,CAN_2006,138.4142012,72.15008,NA,98.59676,84.138,46.67085,NA,82.7,NA,48.64479
69,CAN_2008,15.12643678,72.06749,NA,98.65812,83.192,46.79872,NA,83,NA,48.68863
70,CAN_2010,146.1176471,72.35536,NA,98.76236,83.731,47.12796,NA,83.4,NA,48.75546
71,CAN_2012,88.32876712,72.48668,NA,98.8666,83.858,47.20639,NA,83.704,NA,48.79842
72,CAN_2014,143.0646766,72.63329,NA,98.94388,84.182,47.16164,NA,83.988,NA,48.89092
73,CAN_2016,129.5231788,72.63825,NA,99.02116,84,47.15103,NA,84.253,NA,48.76606
74,CHN_1992,213.5,72.20465,92.07016,98.3692,79.79,45.12444,NA,71.388,NA,46.48611
75,CHN_1994,12.91666667,63.26065,89.64252,98.62528,82.61,45.081,NA,71.816,8.22751,46.82222
76,CHN_1996,329.8994413,72.66095,88.1048,98.88136,84.29,45.05726,NA,72.334,NA,47.29827
77,CHN_1998,49.7037037,69.92966,NA,99.03912,84.97,45.04223,NA,72.967,NA,47.62998
78,CHN_2000,237.3584906,77.88012,NA,99.09856,85.03,45.05246,86.5266,73.693,NA,NA
79,CHN_2002,52.14285714,70.12243,NA,99.158,84.76,44.88162,NA,74.469,NA,47.34353
80,CHN_2004,384.8159204,75.89727,NA,99.2104,84.46,44.6957,NA,75.223,NA,NA
81,CHN_2006,26.16923077,60.36037,NA,99.2628,84.28,44.47796,NA,75.884,11.46985,46.7876
82,CHN_2008,350.2340426,60.49272,NA,99.2936,84.19,44.25026,NA,76.418,12.33901,46.46546
83,CHN_2010,98.09090909,65.15224,NA,99.3028,84.1,44.01172,92.71123,76.837,12.86619,46.23675
84,CHN_2012,316.1179245,60.66301,NA,99.312,84.01,43.94601,NA,77.18,13.33091,46.19911
85,CHN_2014,32.23255814,70.19012,NA,99.33088,83.9,43.8779,NA,77.503,NA,46.33884
86,CHN_2016,348.504902,70.21005,NA,99.34976,83.76,43.76953,NA,77.833,NA,46.33798
87,CIV_2016,1.5,60.62542,82.96073,86.6614,50.89,40.9633,NA,55.141,NA,47.1361
88,CMR_2004,4.5,47.57383,NA,85.72996,46.1,46.78434,NA,53.182,7.85798,45.78869
89,CMR_2008,1.4,48.6324,NA,87.03882,47.81,46.76436,NA,55.555,8.75355,45.87267
90,COL_1992,0.05172414,63.13358,NA,91.7298,71.4,29.21552,NA,72.894,NA,50.42858
91,COL_2000,4,62.2608,97.52538,91.4893,76.11,35.29025,NA,74.823,11.67448,48.91316
92,COL_2004,1.30232558,66.93619,97.62452,92.27346,77.64,38.19675,92.71463,75.807,12.56437,48.66881
93,COL_2008,0.57894737,67.89638,96.37316,93.75206,79.2,40.76135,93.43537,76.681,14.1326,48.83549
94,COL_2012,11.42857143,64.47782,94.31591,94.2343,80.52,42.44634,NA,77.336,14.39599,48.0962
95,COL_2016,13.13580247,64.90656,93.91684,95.0503,81.47,42.8485,NA,77.996,14.85445,48.20983
96,CUB_1992,27.47482014,63.27573,94.58432,93.0796,83.16,34.26887,NA,76.765,12.5838,48.48854
97,CUB_1996,32.54237288,63.83862,98.96019,93.0644,83.65,33.59139,NA,77.707,11.90571,47.99167
98,CUB_2000,30.83798883,64.13199,97.72416,94.2798,83.83,34.32218,NA,78.648,12.38158,47.73819
99,CUB_2004,18.93103448,64.47016,94.28912,95.15408,84.25,35.426,NA,79.632,14.88666,47.65324
100,CUB_2008,11.64545455,66.06399,97.4011,95.18602,84.04,38.10413,NA,80.75,18.92572,48.04095
101,CUB_2012,7.54285714,70.12343,99.6673,94.9449,83.15,38.43901,99.79988,81.279,15.56307,48.14428
102,CUB_2016,1.72,74.60835,NA,95.49722,82.78,38.37416,NA,81.782,NA,NA
103,CZE_1996,8.75247525,61.50723,NA,97.8531,88.2,44.04153,NA,77.3,13.15717,48.49161
104,CZE_1998,1.73493976,61.89537,NA,98.44768,88.4,44.33378,NA,78.1,13.45597,48.63479
105,CZE_2000,2.2972973,62.10024,NA,98.65584,88.5,44.55109,NA,78.4,13.93367,48.56083
106,CZE_2002,2.97247706,62.16995,NA,98.864,88.3,44.29136,NA,78.5,14.71104,48.3533
107,CZE_2004,6.4,62.16784,NA,98.87372,87.7,44.36132,NA,79,14.73475,48.33728
108,CZE_2006,3.62393162,62.16756,NA,98.88344,86.6,44.09462,NA,79.7,15.28891,48.43841
109,CZE_2008,10.6091954,61.93823,NA,98.8897,84.9,43.42024,NA,80.1,15.87101,48.44846
110,CZE_2010,5.2,62.12208,NA,98.8925,84.9,43.27877,NA,80.6,16.53405,48.52716
111,CZE_2012,17.33333333,62.43062,NA,98.8953,85.5,43.73847,NA,81.2,16.61238,48.63755
112,CZE_2014,12.24347826,62.62799,NA,98.93738,84.7,43.94797,NA,82,17.50109,48.68149
113,CZE_2016,3.5443038,77.21195,NA,98.97946,84.3,44.36832,NA,81.2,NA,NA
114,EGY_2016,1.01098901,59.96689,99.18025,94.90376,67.35,22.99826,NA,73.763,13.05714,48.51585
115,ESP_1992,51.1969697,66.51033,99.50511,99.0321,86.9,35.78892,NA,81.19,14.85334,48.30287
116,ESP_1996,29.47457627,62.00756,NA,99.16194,88.6,38.08996,NA,81.88,16.1593,48.15419
117,ESP_2000,4.18374558,67.60544,99.98488,99.0615,87.8,39.44114,NA,82.5,16.08879,48.36175
118,ESP_2004,15.39748954,71.33274,99.82548,98.89502,86.9,41.01592,96.23088,83.2,16.23426,48.36035
119,ESP_2008,25.84688995,71.69569,99.9313,98.8426,85.5,42.96656,96.88684,84.3,16.75485,48.38338
120,ESP_2012,64.31527094,72.50783,99.86302,99.1002,86.8,45.36768,97.21804,85.5,17.78694,48.42678
121,ESP_2016,68.43979058,72.63718,98.60074,99.1322,86.7,46.25219,97.69536,85.7,18.23161,48.78532
122,EST_1992,1.2987013,60.28618,NA,95.2911,82.9,47.38995,NA,74.6,13.01796,48.51805
123,EST_2006,6.15384615,67.1984,95.78034,97.72458,84.2,49.14143,NA,78.3,17.2157,48.02674
124,EST_2010,2.18918919,67.86812,98.60802,98.12962,82.8,49.35897,NA,80.5,17.40803,48.27222
125,ETH_1992,1.66666667,50.22463,NA,88.2326,28.57,43.01141,NA,49.478,NA,41.83112
126,ETH_1996,5.4,38.93288,20.21528,88.24364,30.65,43.88338,NA,51.345,2.14881,36.04404
127,ETH_2000,7.2,42.70883,34.10235,88.98608,34.71,45.26404,NA,53.348,3.34883,39.20249
128,ETH_2004,8,44.0318,46.30828,90.34468,41.33,46.68174,22.8,56.559,4.74872,43.48199
129,ETH_2008,10.26666667,53.76986,74.17635,91.8255,47.99,46.9728,NA,61.152,7.35292,46.91942
130,ETH_2012,15.11111111,55.80351,77.32923,92.5559,53.23,46.90391,NA,65.051,7.93366,47.62088
131,ETH_2016,13.58823529,66.54224,NA,93.51446,58.02,47.26848,NA,67.366,NA,NA
132,FIN_1992,3.34883721,62.04528,NA,98.862,81.5,47.0258,NA,79.43,16.66207,48.79181
133,FIN_1994,0.8,67.43486,98.70792,98.93864,81.5,46.90656,NA,80.15,17.04815,48.79276
134,FIN_1996,3.75,67.82715,98.66977,99.01528,82.4,47.86064,NA,80.54,17.41331,48.89104
135,FIN_1998,11.42857143,68.01716,99.34172,99.03106,83,47.36327,NA,80.84,17.74515,48.79893
136,FIN_2006,2.52688172,67.89689,97.03303,99.0497,81.6,48.1362,NA,82.8,17.71944,48.93988
137,FIN_2008,9.26315789,67.98606,97.86221,99.11306,81.5,47.98572,NA,83,17.67995,48.76148
138,FIN_2010,13.67741935,68.05355,98.35307,99.18538,81.3,48.05148,NA,83.2,17.54057,48.74431
139,FIN_2012,6.9375,68.34988,99.0844,99.2577,82,48.07038,NA,83.7,17.65748,48.67917
140,FIN_2014,11.49473684,69.00829,99.61287,99.28386,82.9,48.27127,NA,84.1,20.08853,48.80148
141,FIN_2016,0.97058824,69.10284,99.22887,99.31002,83.5,48.04923,NA,84.7,20.12257,48.80921
142,FRA_1992,21.88738739,67.06224,99.62882,98.9011,82.6,43.50069,NA,81.3,15.08047,48.42456
143,FRA_1994,4.16037736,67.09829,97.77786,98.94834,82.7,44.21784,NA,81.9,15.80867,48.33529
144,FRA_1996,39.0459364,67.46593,99.70168,98.99558,82.5,44.62597,NA,82,15.98606,48.45222
145,FRA_1998,3.6,62.17848,NA,98.99994,82.2,44.79974,NA,82.6,15.88621,48.58497
146,FRA_2000,20.57432432,67.47431,99.80711,98.96142,81.1,45.04132,NA,83,15.83127,48.57904
147,FRA_2002,9.25984252,67.46087,99.76151,98.9229,81.2,45.04662,NA,83,15.6957,48.59939
148,FRA_2004,28.14685315,67.56749,99.31258,98.95262,80.8,45.59603,NA,83.8,15.88852,48.62269
149,FRA_2006,7.66666667,67.67937,99.21395,98.98234,80,46.02805,NA,84.5,16.55864,48.47259
150,FRA_2008,12.31578947,67.75784,99.28352,99.00898,79.9,46.34648,NA,84.8,16.48965,48.47626
151,FRA_2010,10.224,67.87384,99.47458,99.03254,79.7,46.50564,NA,85.3,16.57658,48.52751
152,FRA_2012,57.98765432,67.98164,99.46719,99.0561,79.9,46.58769,NA,85.4,16.63251,48.82799
153,FRA_2014,2.91338583,68.13753,99.6526,99.08794,79.9,46.84039,NA,86,16.74433,48.73742
154,FRA_2016,64.73220339,77.98304,NA,99.11978,80.4,46.91239,NA,85.5,NA,NA
155,GBR_1992,15.15,65.98887,96.76554,96.9487,82.1,43.64411,NA,79.2,14.35709,48.90668
156,GBR_1994,0.21428571,75.83842,NA,96.95654,82.6,44.19715,NA,79.6,NA,NA
157,GBR_1996,0.68534483,75.98638,NA,96.96438,82.7,44.58112,NA,79.7,NA,NA
158,GBR_2000,32.34051724,67.33623,99.98323,97.19114,83.6,45.21082,NA,80.2,16.37019,48.79821
159,GBR_2002,15.36363636,67.45314,99.81726,97.3397,83.7,45.58451,NA,80.5,16.4488,48.78171
160,GBR_2004,51.87755102,67.39079,99.39468,97.38282,82.5,45.64581,NA,81,17.03946,48.7728
161,GBR_2006,2.0625,67.38374,99.81018,97.42594,81.8,45.72525,NA,81.4,16.60931,48.91547
162,GBR_2008,80.23222749,67.13049,98.85604,97.60312,80.9,45.67749,NA,81.7,16.4444,48.73238
163,GBR_2010,3.125,67.27783,98.35587,97.91436,80.8,46.01869,NA,82.4,16.78802,48.66789
164,GBR_2012,135.5085714,67.35435,98.61216,98.2256,80.8,46.1087,NA,82.8,16.12521,48.80879
165,GBR_2014,6.59574468,62.84866,NA,98.43544,81.9,46.40047,NA,83.2,18.36312,48.79292
166,GBR_2016,171.3533835,77.49014,NA,98.64528,82,46.51528,NA,82.8,NA,NA
167,GEO_2008,0.31034483,64.7694,94.93183,94.90656,81.79,45.98713,NA,76.572,12.16824,47.03002
168,HKG_1996,2.61904762,75.1178,93.14868,99.44382,88.09,38.96397,NA,82.7,NA,48.36034
169,HKG_2012,1.11538462,69.05059,98.91941,99.6979,87.15,47.78419,NA,86.4,15.48624,47.91636
170,HUN_1992,25.59272727,59.64947,NA,96.3463,82.3,45.45109,NA,73.86,11.23532,48.70412
171,HUN_1996,18.08762887,62.81748,77.3068,97.22198,85.4,43.70069,NA,74.79,12.82016,48.48276
172,HUN_2000,50.26388889,66.32954,96.68444,97.71528,86.8,44.60691,NA,75.6,14.46217,48.43796
173,HUN_2004,35.06896552,66.68598,95.63888,97.95716,87.2,45.28331,NA,76.9,15.37887,48.44361
174,HUN_2008,20.96460177,66.99194,97.08782,98.03018,86.5,45.4543,NA,77.8,15.75295,48.31831
175,HUN_2012,29.59292035,67.14396,96.57246,97.9685,86.6,46.2027,NA,78.7,15.55308,48.411
176,HUN_2016,47.36842105,67.02837,96.98892,98.01946,85.5,45.67381,NA,79,15.39474,48.62169
177,IND_2000,0.4893617,54.14564,76.65289,93.3163,66.89,27.88836,NA,63.438,7.25667,43.57728
178,IND_2012,0.87878788,68.47917,97.71529,96.9619,75.25,24.09779,NA,68.783,NA,48.06707
179,IND_2016,3.64705882,55.52256,NA,97.54646,76.74,24.69325,NA,70.166,12.8747,51.11492
180,IRL_1996,4.57142857,63.84432,88.27832,98.16004,81.2,38.54726,NA,78.7,13.3892,48.6354
181,IRL_2000,2.06666667,60.74827,NA,98.09988,81.1,40.70092,NA,79.2,16.89514,48.49368
182,IRL_2012,4.04761905,67.63365,99.81672,98.7972,80,44.35815,NA,83.1,18.5376,48.82589
183,IRL_2016,1.5,71.35422,NA,98.98648,80.8,44.86292,NA,83.4,NA,48.7217
184,ISL_2000,0.70588235,62.04302,NA,98.02424,79.2,47.28576,NA,81.6,17.84237,48.30573
185,ISR_1992,0.77142857,67.89414,NA,98.0658,73,41.06516,NA,78.4,NA,48.93973
186,ISR_2016,1.10714286,66.04208,97.61392,99.03186,68.9,47.17704,NA,84.2,16.51403,48.8577
187,ITA_1992,18.80630631,60.85587,NA,99.2257,87,36.27071,NA,80.8,13.23881,48.59999
188,ITA_1994,15.25,61.42422,NA,99.2783,87.9,36.4976,NA,81.2,14.10576,49.56363
189,ITA_1996,21.40740741,66.67721,97.73163,99.3309,88,37.19443,NA,81.8,14.36345,48.32003
190,ITA_1998,7.375,61.73634,NA,99.3458,87.9,37.72695,NA,82.1,15.01838,48.32691
